2023-03-07T03:16:34.343Z [ 0.070106, 48.2875 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:34.440Z [ 0.070106, 48.2875 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:34.920Z [ 0.070106, 48.2875 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:34.921Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:34.943Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:35.043Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:35.141Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:35.242Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:35.341Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:35.442Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:35.554Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:35.644Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:35.744Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:35.850Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:35.945Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:36.046Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:36.143Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:36.344Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:36.444Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:36.543Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:36.643Z [ 0.070106, 49.1345 ] [ 0.070105, 0.8689 ]
